# Trazado de salas del tablero "El Original" (HeroQuest: El Despertar)
# derivado de la foto sources/heroquest_board_original.jpg mediante la rejilla
# calibrada _cal/original_rejilla.png (26 columnas x 19 filas, apaisado).
#
# Formato por linea:  numero_sala, x1, y1, x2, y2   (1-indexado, inclusivo)
# Varias lineas con el mismo numero_sala = sala en L / compuesta.
# El gris entre camaras es pasillo (no se traza).

# --- Mitad superior ---
1, 2, 2, 5, 6
2, 6, 2, 8, 6
3, 9, 2, 12, 7
4, 15, 2, 17, 6
5, 18, 2, 21, 7
6, 22, 2, 25, 5

7, 2, 7, 5, 10
8, 6, 7, 8, 9
9, 18, 8, 19, 10
10, 22, 7, 25, 10

# --- Sala central (gris, en cruz) ---
11, 10, 10, 13, 14
11, 14, 11, 16, 13

# --- Mitad inferior ---
12, 2, 12, 5, 15
13, 6, 12, 8, 14
14, 22, 12, 25, 15

15, 2, 16, 5, 18
16, 6, 15, 8, 18
17, 9, 15, 11, 18
18, 14, 15, 16, 18
19, 18, 15, 21, 18
20, 22, 16, 25, 18
